category,name,symbol,current_price,market_cap,market_cap_rank,volume_24h,price_change_24h,price_change_7d
letsbonk-fun-ecosystem,CodeputerBot,codeputer,2.103e-05,21014.0,10335.0,1.061,5.16823,0
letsbonk-fun-ecosystem,Slopana,slopana,2.086e-05,20862.0,10353.0,1829.96,16.26704,0
letsbonk-fun-ecosystem,Pnut the Squirrel,pnut,2.045e-05,20440.0,10387.0,2634.2,-9.28771,0
letsbonk-fun-ecosystem,Bonk Army,army,1.94e-05,19388.25,10477.0,1.84,4.54323,0
letsbonk-fun-ecosystem,UNEMPLOYED COIN,unemployed,1.916e-05,19125.37,10503.0,519.69,-1.41952,0
letsbonk-fun-ecosystem,Real Asian Hours,chinawins,1.803e-05,18029.84,10589.0,29.27,,0
letsbonk-fun-ecosystem,Underdog,underdog,1.725e-05,17136.85,10684.0,1170.52,2.16472,0
letsbonk-fun-ecosystem,fapcoin,fapcoin,1.693e-05,16935.58,10701.0,399.65,6.74914,0
letsbonk-fun-ecosystem,Bonk Level Saviour,saviour,1.681e-05,16798.32,10712.0,1.13,5.35968,0
letsbonk-fun-ecosystem,WrongCoin,wrong,1.678e-05,16772.01,10713.0,108.71,2.61415,0
